Price,Adj Close,Close,High,Low,Open,Volume
Ticker,CCL,CCL,CCL,CCL,CCL,CCL
Date,,,,,,
2010-01-01,24.839221954345703,33.33000183105469,35.400001525878906,31.75,32.290000915527344,79977700
2010-02-01,26.799230575561523,35.959999084472656,36.15999984741211,31.84000015258789,33.7599983215332,91195900
2010-03-01,29.062179565429688,38.880001068115234,39.349998474121094,35.54999923706055,35.709999084472656,78360900
2010-04-01,31.170068740844727,41.70000076293945,44.209999084472656,37.84000015258789,39.38999938964844,109076100
2010-05-01,27.081340789794922,36.22999954223633,42.5,34.060001373291016,42.060001373291016,123386900
2010-06-01,22.664480209350586,30.239999771118164,37.529998779296875,29.979999542236328,36.400001525878906,138969300
2010-07-01,25.99220085144043,34.68000030517578,35.189998626708984,29.68000030517578,30.3799991607666,111344700
2010-08-01,23.368995666503906,31.18000030517578,36.08000183105469,29.950000762939453,35.41999816894531,87482800
2010-09-01,28.709609985351562,38.189998626708984,39.08000183105469,31.739999771118164,31.8700008392334,98011800
2010-10-01,32.45336151123047,43.16999816894531,43.66999816894531,37.650001525878906,38.52000045776367,121285400
2010-11-01,31.055089950561523,41.310001373291016,44.900001525878906,40.560001373291016,43.59000015258789,79530900
2010-12-01,34.747615814208984,46.11000061035156,47.220001220703125,41.619998931884766,42.04999923706055,71478300
2011-01-01,33.69260787963867,44.709999084472656,48.13999938964844,44.5,46.439998626708984,69110400
2011-02-01,32.155296325683594,42.66999816894531,47.709999084472656,40.52000045776367,45.099998474121094,69684000
2011-03-01,29.06245231628418,38.36000061035156,42.58000183105469,37.86000061035156,42.4900016784668,160496700
2011-04-01,28.842744827270508,38.06999969482422,39.400001525878906,36.900001525878906,38.90999984741211,95689500
2011-05-01,29.403379440307617,38.810001373291016,41.95000076293945,37.599998474121094,38.31999969482422,82797400
2011-06-01,28.687036514282227,37.630001068115234,38.5,34.209999084472656,38.5,109706200
2011-07-01,25.386085510253906,33.29999923706055,38.83000183105469,33.279998779296875,37.880001068115234,80790900
2011-08-01,25.18024253845215,33.029998779296875,33.900001525878906,28.959999084472656,33.88999938964844,194776500
2011-09-01,23.287580490112305,30.299999237060547,35.06999969482422,29.690000534057617,32.83000183105469,149334700
2011-10-01,27.061237335205078,35.209999084472656,37.310001373291016,28.520000457763672,30.0,100977900
2011-11-01,25.51642417907715,33.20000076293945,34.61000061035156,30.209999084472656,33.61000061035156,99970600
2011-12-01,25.282873153686523,32.63999938964844,34.650001525878906,31.739999771118164,33.400001525878906,82429600
2012-01-01,23.392852783203125,30.200000762939453,35.22999954223633,29.219999313354492,33.470001220703125,158927700
2012-02-01,23.462570190429688,30.290000915527344,32.27000045776367,29.149999618530273,30.360000610351562,124398400
2012-03-01,25.05284881591797,32.08000183105469,32.93000030517578,29.219999313354492,30.59000015258789,129630100
2012-04-01,25.37303352355957,32.4900016784668,33.150001525878906,30.040000915527344,32.0099983215332,94609100
2012-05-01,25.060649871826172,32.09000015258789,33.22999954223633,30.690000534057617,32.52000045776367,90331200
2012-06-01,26.97365951538086,34.27000045776367,35.61000061035156,30.649999618530273,31.549999237060547,106999000
2012-07-01,26.194433212280273,33.279998779296875,34.54999923706055,31.649999618530273,34.52000045776367,72828500
2012-08-01,27.29636001586914,34.68000030517578,35.400001525878906,32.63999938964844,33.68000030517578,68628100
2012-09-01,28.882461547851562,36.43000030517578,39.0,34.40999984741211,34.599998474121094,79289100
2012-10-01,30.02412223815918,37.869998931884766,39.400001525878906,35.90999984741211,36.650001525878906,71419200
2012-11-01,30.65045928955078,38.65999984741211,39.369998931884766,36.9900016784668,38.08000183105469,64773000
2012-12-01,29.343862533569336,36.77000045776367,39.95000076293945,36.02000045776367,38.83000183105469,77106300
2013-01-01,31.31447410583496,38.720001220703125,39.27000045776367,36.709999084472656,37.25,83537800
2013-02-01,28.928686141967773,35.77000045776367,39.619998931884766,34.369998931884766,39.18000030517578,110907700
2013-03-01,27.931089401245117,34.29999923706055,36.560001373291016,33.08000183105469,35.59000015258789,121125500
2013-04-01,28.10209846496582,34.5099983215332,34.959999084472656,32.650001525878906,34.349998474121094,98860600
2013-05-01,26.953908920288086,33.099998474121094,35.7400016784668,32.5099983215332,34.43000030517578,109257200
2013-06-01,28.130949020385742,34.290000915527344,35.060001373291016,32.060001373291016,32.72999954223633,113675100
2013-07-01,30.378808975219727,37.029998779296875,37.380001068115234,34.439998626708984,34.560001373291016,65055500
2013-08-01,29.607648849487305,36.09000015258789,38.040000915527344,35.79999923706055,37.400001525878906,68820200
2013-09-01,26.963741302490234,32.63999938964844,37.959999084472656,32.4900016784668,35.939998626708984,118897800
2013-10-01,28.624189376831055,34.650001525878906,35.0099983215332,31.440000534057617,32.68000030517578,96181800
2013-11-01,29.830297470092773,36.11000061035156,36.43000030517578,34.4900016784668,34.66999816894531,76747100
2013-12-01,33.41884994506836,40.16999816894531,40.470001220703125,34.81999969482422,35.900001525878906,104027600
2014-01-01,32.603553771972656,39.189998626708984,41.88999938964844,39.02000045776367,39.63999938964844,86012800
2014-02-01,32.99456787109375,39.65999984741211,40.79999923706055,37.959999084472656,39.41999816894531,61818300
2014-03-01,31.69638442993164,37.86000061035156,40.40999984741211,37.060001373291016,38.68000030517578,88024800
2014-04-01,32.91032791137695,39.310001373291016,39.7400016784668,35.790000915527344,37.83000183105469,63746200
2014-05-01,33.513099670410156,40.029998779296875,40.29999923706055,37.810001373291016,39.29999923706055,58508000
2014-06-01,31.722986221313477,37.650001525878906,40.650001525878906,37.459999084472656,40.09000015258789,82151000
2014-07-01,30.51809310913086,36.220001220703125,37.95000076293945,35.880001068115234,37.7599983215332,77109500
2014-08-01,31.916791915893555,37.880001068115234,38.119998931884766,35.70000076293945,36.13999938964844,57265200
2014-09-01,34.071617126464844,40.16999816894531,42.310001373291016,37.599998474121094,37.72999954223633,88596600
2014-10-01,34.05465316772461,40.150001525878906,40.52000045776367,33.11000061035156,40.0,165976000
2014-11-01,37.45588302612305,44.15999984741211,44.439998626708984,39.61000061035156,40.150001525878906,60441500
2014-12-01,38.67700958251953,45.33000183105469,46.310001373291016,41.86000061035156,43.75,109630300
